ID,Estimated Speedup [%],Function Name,Demangled Name,Duration [us],Runtime Improvement [us],Compute Throughput [%],Memory Throughput [%],# Registers [register/thread],Grid Size,Block Size [block],Result Type
1212,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,66","0,00","47,43","81,82",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1213,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,30","0,00","97,49","19,50",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1214,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,08","0,00","94,93","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1215,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,76","0,00","95,10","19,01",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1216,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,86","0,00","47,51","81,47",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1217,0.00,encode_blocks_kernel,encode_blocks_kernel..,"550,21","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1218,0.00,encode_blocks_kernel,encode_blocks_kernel..,"142,11","0,00","94,94","18,97",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1219,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,63","0,00","95,00","18,99",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1220,0.00,rgb_to_ycbcr_kernel,rgb_to_ycbcr_kernel..,"49,63","0,00","47,47","81,61",16,"   80,   45,    1","   16,   16,    1",Kernel: SIMT
1221,0.00,encode_blocks_kernel,encode_blocks_kernel..,"552,03","0,00","97,86","19,57",34," 3600,    1,    1","  256,    1,    1",Kernel: SIMT
1222,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,95","0,00","94,96","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
1223,0.00,encode_blocks_kernel,encode_blocks_kernel..,"141,86","0,00","94,98","18,98",34,"  900,    1,    1","  256,    1,    1",Kernel: SIMT
